id,title,organisation,org_type,country,year,scope,link,themes,archetypes,summary,source,date_added
cabinet-office-2024-data-digital,Data and Digital Strategy 2024,Cabinet Office,central govt,UK,2024,data+AI,https://www.gov.uk/example1,governance;standards;skills;value,conceptual;living;transformational;horizontal;ecosystem-federated;value-oriented;innovation-driven;data-democratization;incremental;data-informed,"Sets direction for cross-government data standards, skills, and value with iterative delivery.",GOV.UK,12/11/2025
defra-2023-data-strategy,Defra Group Data Strategy 2023,Defra,central govt,ENG,2023,data,https://www.gov.uk/example2,interoperability;sharing;ethics;value,conceptual;living;transformational;horizontal;ecosystem-federated;value-oriented;innovation-driven;data-democratization;incremental;data-informed,"Builds environmental data foundations for interoperability, reuse, and sustainable value.",GOV.UK,12/11/2025
ons-2022-data-strategy,ONS Data Strategy 2022,Office for National Statistics,agency,UK,2022,data,https://www.ons.gov.uk/example,standards;open-data;metadata;governance,logical-physical;fixed;essential;horizontal;centralised;technology-oriented;compliance-driven;controlled-access;incremental;data-driven,Focuses on official statistics data governance and open-data publication standards.,ONS,12/11/2025
nhs-2022-data-strategy,NHS Data Strategy 2022,NHS England,NHS,ENG,2022,data,https://www.england.nhs.uk/example,security;interoperability;skills;governance,logical-physical;fixed;essential;horizontal;centralised;technology-oriented;compliance-driven;controlled-access;incremental;data-driven,Strengthens foundational data management and security for care and research.,NHS England,12/11/2025
scottish-gov-2023-data-strategy,Scottish Government Data Strategy 2023,Scottish Government,devolved,SCO,2023,data+AI,https://www.gov.scot/example,governance;ethics;skills;value,conceptual;living;transformational;horizontal;ecosystem-federated;value-oriented;innovation-driven;data-democratization;incremental;data-informed,Advances ethical and federated data use to improve public services in Scotland.,GOV.SCOT,12/11/2025
hmrc-2021-data-strategy,HMRC Data Strategy 2021,HMRC,central govt,UK,2021,data,https://www.gov.uk/example3,compliance;security;automation,logical-physical;fixed;essential;breadth;centralised;technology-oriented;compliance-driven;controlled-access;incremental;data-driven,Modernises tax data infrastructure with automation and strong compliance focus.,GOV.UK,12/11/2025
moj-2020-data-strategy,Ministry of Justice Data Strategy 2020,Ministry of Justice,central govt,UK,2020,data,https://www.gov.uk/example4,governance;data-sharing;ethics;skills,conceptual;living;essential;horizontal;ecosystem-federated;value-oriented;innovation-driven;data-democratization;incremental;data-informed,Improves data sharing across the justice system to enhance decision-making.,GOV.UK,12/11/2025
met-office-2024-data-strategy,Met Office Data Strategy 2024,Met Office,agency,UK,2024,data+AI,https://www.metoffice.gov.uk/example,climate;interoperability;AI;innovation,conceptual;living;transformational;horizontal;ecosystem-federated;value-oriented;innovation-driven;data-democratization;incremental;data-informed,Uses AI and open data to enhance forecasting and climate services.,Met Office,12/11/2025
localgov-2023-open-data-strategy,Open Data Strategy 2023,Greater Manchester Combined Authority,local authority,ENG,2023,open-data,https://www.greatermanchester-ca.gov.uk/example,open-data;transparency;citizen-engagement,conceptual;living;transformational;breadth;ecosystem-federated;value-oriented;innovation-driven;data-democratization;incremental;data-informed,Promotes open data and citizen engagement through regional collaboration.,GMCA,12/11/2025
ico-2022-data-strategy,Information Commissioner’s Office Data Strategy 2022,Information Commissioner's Office,regulator,UK,2022,data,https://ico.org.uk/example,ethics;privacy;governance;standards,logical-physical;fixed;essential;horizontal;centralised;value-oriented;compliance-driven;controlled-access;incremental;data-informed,Ensures ethical and lawful data use through strong regulatory oversight.,ICO,12/11/2025
